ANGLE=1.700000e+08   SIN=476   COS=32758
ANGLE=1.800000e+08   SIN=958   COS=32745
ANGLE=1.900000e+08   SIN=1436   COS=32729
ANGLE=2.000000e+08   SIN=1914   COS=32702
ANGLE=2.100000e+08   SIN=2390   COS=32673
ANGLE=2.200000e+08   SIN=2872   COS=32632
ANGLE=2.300000e+08   SIN=3350   COS=32586
ANGLE=2.400000e+08   SIN=3827   COS=32535
ANGLE=2.500000e+08   SIN=4302   COS=32475
ANGLE=2.600000e+08   SIN=4777   COS=32408
ANGLE=2.700000e+08   SIN=5251   COS=32334
ANGLE=2.800000e+08   SIN=5721   COS=32255
ANGLE=2.900000e+08   SIN=6192   COS=32168
ANGLE=3.000000e+08   SIN=6662   COS=32073
ANGLE=3.100000e+08   SIN=7131   COS=31972
ANGLE=3.200000e+08   SIN=7598   COS=31864
ANGLE=3.300000e+08   SIN=8067   COS=31749
ANGLE=3.400000e+08   SIN=8525   COS=31630
ANGLE=3.500000e+08   SIN=8988   COS=31500
ANGLE=3.600000e+08   SIN=9445   COS=31368
ANGLE=3.700000e+08   SIN=9904   COS=31225
ANGLE=3.800000e+08   SIN=10362   COS=31074
ANGLE=3.900000e+08   SIN=10815   COS=30921
ANGLE=4.000000e+08   SIN=11266   COS=30760
ANGLE=4.100000e+08   SIN=11715   COS=30592
ANGLE=4.200000e+08   SIN=12164   COS=30413
ANGLE=4.300000e+08   SIN=12604   COS=30237
ANGLE=4.400000e+08   SIN=13046   COS=30050
ANGLE=4.500000e+08   SIN=13483   COS=29855
ANGLE=4.600000e+08   SIN=13919   COS=29655
ANGLE=4.700000e+08   SIN=14350   COS=29449
ANGLE=4.800000e+08   SIN=14779   COS=29234
ANGLE=4.900000e+08   SIN=15207   COS=29014
ANGLE=5.000000e+08   SIN=15628   COS=28788
ANGLE=5.100000e+08   SIN=16047   COS=28559
ANGLE=5.200000e+08   SIN=16466   COS=28319
ANGLE=5.300000e+08   SIN=16877   COS=28078
ANGLE=5.400000e+08   SIN=17286   COS=27826
ANGLE=5.500000e+08   SIN=17694   COS=27568
ANGLE=5.600000e+08   SIN=18093   COS=27309
ANGLE=5.700000e+08   SIN=18493   COS=27040
ANGLE=5.800000e+08   SIN=18886   COS=26767
ANGLE=5.900000e+08   SIN=19279   COS=26485
ANGLE=6.000000e+08   SIN=19659   COS=26203
ANGLE=6.100000e+08   SIN=20039   COS=25915
ANGLE=6.200000e+08   SIN=20417   COS=25620
ANGLE=6.300000e+08   SIN=20790   COS=25319
ANGLE=6.400000e+08   SIN=21157   COS=25011
ANGLE=6.500000e+08   SIN=21520   COS=24698
ANGLE=6.600000e+08   SIN=21881   COS=24380
ANGLE=6.700000e+08   SIN=22237   COS=24056
ANGLE=6.800000e+08   SIN=22585   COS=23730
ANGLE=6.900000e+08   SIN=22928   COS=23398
ANGLE=7.000000e+08   SIN=23277   COS=23052
ANGLE=7.100000e+08   SIN=23603   COS=22717
ANGLE=7.200000e+08   SIN=23934   COS=22369
ANGLE=7.300000e+08   SIN=24260   COS=22015
ANGLE=7.400000e+08   SIN=24576   COS=21663
ANGLE=7.500000e+08   SIN=24890   COS=21296
ANGLE=7.600000e+08   SIN=25200   COS=20930
ANGLE=7.700000e+08   SIN=25507   COS=20556
ANGLE=7.800000e+08   SIN=25808   COS=20181
ANGLE=7.900000e+08   SIN=26098   COS=19802
ANGLE=8.000000e+08   SIN=26381   COS=19423
ANGLE=8.100000e+08   SIN=26663   COS=19034
ANGLE=8.200000e+08   SIN=26938   COS=18643
ANGLE=8.300000e+08   SIN=27207   COS=18245
ANGLE=8.400000e+08   SIN=27470   COS=17846
ANGLE=8.500000e+08   SIN=27734   COS=17434
ANGLE=8.600000e+08   SIN=27985   COS=17029
ANGLE=8.700000e+08   SIN=28231   COS=16614
ANGLE=8.800000e+08   SIN=28467   COS=16207
ANGLE=8.900000e+08   SIN=28700   COS=15788
ANGLE=9.000000e+08   SIN=28930   COS=15367
ANGLE=9.100000e+08   SIN=29148   COS=14945
ANGLE=9.200000e+08   SIN=29364   COS=14515
ANGLE=9.300000e+08   SIN=29573   COS=14084
ANGLE=9.400000e+08   SIN=29782   COS=13645
ANGLE=9.500000e+08   SIN=29979   COS=13209
ANGLE=9.600000e+08   SIN=30165   COS=12774
ANGLE=9.700000e+08   SIN=30348   COS=12332
ANGLE=9.800000e+08   SIN=30526   COS=11883
ANGLE=9.900000e+08   SIN=30695   COS=11439
ANGLE=1.000000e+09   SIN=30859   COS=10987
ANGLE=1.010000e+09   SIN=31016   COS=10536
ANGLE=1.020000e+09   SIN=31169   COS=10076
ANGLE=1.030000e+09   SIN=31314   COS=9618
ANGLE=1.040000e+09   SIN=31450   COS=9161
ANGLE=1.050000e+09   SIN=31581   COS=8700
ANGLE=1.060000e+09   SIN=31707   COS=8237
ANGLE=1.070000e+09   SIN=31824   COS=7772
ANGLE=1.080000e+09   SIN=31931   COS=7305
ANGLE=1.090000e+09   SIN=32035   COS=6838
ANGLE=1.100000e+09   SIN=32134   COS=6370
ANGLE=1.110000e+09   SIN=32225   COS=5898
ANGLE=1.120000e+09   SIN=32306   COS=5427
ANGLE=1.130000e+09   SIN=32382   COS=4955
ANGLE=1.140000e+09   SIN=32453   COS=4478
ANGLE=1.150000e+09   SIN=32515   COS=4003
ANGLE=1.160000e+09   SIN=32565   COS=3531
ANGLE=1.170000e+09   SIN=32613   COS=3052
ANGLE=1.180000e+09   SIN=32654   COS=2576
ANGLE=1.190000e+09   SIN=32691   COS=2096
ANGLE=1.200000e+09   SIN=32718   COS=1616
ANGLE=1.210000e+09   SIN=32737   COS=1140
ANGLE=1.220000e+09   SIN=32749   COS=660
ANGLE=1.230000e+09   SIN=32758   COS=180
ANGLE=1.240000e+09   SIN=32760   COS=-301
ANGLE=1.250000e+09   SIN=32751   COS=-781
ANGLE=1.260000e+09   SIN=32737   COS=-1261
ANGLE=1.270000e+09   SIN=32712   COS=-1737
ANGLE=1.280000e+09   SIN=32685   COS=-2215
ANGLE=1.290000e+09   SIN=32650   COS=-2694
ANGLE=1.300000e+09   SIN=32606   COS=-3170
